id	sentence	label
cc136431-64b1-40d4-897c-f77b9ce242dc	Sooo Manti Te'o was having a online/phone relationship with a guy pretendingto be a female -_-	1
208150f8-67c0-4190-a521-ff066eedf851	Manti Te'o was having a relationship via telephone/internet with a man pretending to be female.	0
86ec6767-1074-4d69-9c9b-76a22d154922	this lil girl aint going to win im the king of thisshe better fall back ....	1
862e4129-2c5f-4372-952e-8b25a35e8d30	The little girl is not going to win because i am the king, soshe needs to stop what she is doing	0
ac059e3a-7917-4bae-844f-0f94f71dbeef	He up stairs rights now and I'm down here getting ready its aboutto go down nite nite	1
466b28e7-7d0f-4f66-b241-e126664d27b8	He is upstairs rights now and I'm down here getting ready. It’s aboutto go down. Nite nite.	0
c296700a-281c-4f36-982e-a3d3e382d614	Shit I Am Who Am..Fresh up out of Apologize..I'm Doing It For SHAQ & My KIDS That's MY ATTITUDE THIS YEAROR MOVE THE FUCK AROUND	1
ea58b786-aae6-4b5f-b3ed-5932e9c5658e	Shit, I am who I am. I'm done apologizing. I'm doing it for Shaq and my kids, that's my attitude this yearand if you don't like it, get out	0
949cacce-ac46-4f8a-aff8-1e08199220d7	It's very rare that I get what I want. Now that it has happened I don't plan onloosing it no matter what	1
8584056d-d8a7-49a7-b2c8-9cc5c8cd442a	It is very rare that I get what I want, but now that is has happened, I do not plan onlosing it, no matter the cost	0
6f911ca4-9700-4ca8-a3e3-f0c5f8a348df	Shout out to nestboy vick he cold n that rapping sht keep drop.nthem tracks im one em	1
76257e53-0b64-4e8b-ad11-a9177d745ab8	A quick shout out to Nestboy Vick as he is good at rapping. Keep releasingthe track as I want them	0
92876802-ef20-4a4b-9927-5a1f42d3f163	Miami BostonJames Points: 34 Reb: 16 Ast: 7 Stl: 3 Blk: 1 Garnett Points: 24 Reb: 11 Ast:4 Stl: 2 Blk: 3	1
f5206dbe-4e9f-4243-8cfa-84ef18aaa157	Miami Heat Player Lebron James had 34 points, 16 rebounds, 7 assists, 3 steals, and 1 block. Whereas Boston Celtics Player Kevin Garnett had 24 points, 11 rebounds, 4 assists,2 steals, and 3 blocks	0
d6185c98-5c8d-4dee-8e47-729bb922b82d	Boy you can say anything you wanna I don't give a shit, noone else can have ya	1
4fae8144-d94a-4ddd-a926-f2c01f40ab82	You can say anything you want to, I don't care, noone else can have you	0
